"","ISSUENO","ISSUEDATE","ISSUETIME","VIODESCRIPTION","LOCATIONDESC1"
"691131",466235593,"12/6/12","2:57:00 AM","NIGHT PARKING - WRONG SIDE","8636 W MEDFORD AVE"
"18069",459524166,"1/9/12","11:03:00 AM","METER PARKING VIOLATION","789 N JEFFERSON ST"
"49146",458513823,"1/25/12","2:29:00 AM","NIGHT PARKING - WRONG SIDE","643 N 36 ST"
"344356",462715514,"6/14/12","9:40:00 AM","METER PARKING VIOLATION","2319 E KENWOOD BLVD"
"196444",460915711,"4/4/12","9:39:00 AM","PARKED POSTED PRIVATE PROPERTY","3031 W MONTANA ST"
"711693",466609625,"12/14/12","3:40:00 AM","NIGHT PARKING - WRONG SIDE","1316 W HAYES AVE"
"289480",462177612,"5/18/12","4:46:00 AM","NIGHT PARKING","2260 S 33 ST"
"686436",662029513,"12/4/12","5:05:00 PM","PARKING IN HANDICAPPED AREA","7401 W GOODHOPE RD"
"621619",465682840,"11/1/12","4:38:00 PM","METER PARKING VIOLATION","1036 N OLD WORLD THIRD ST"
"104842",460484150,"2/20/12","4:11:00 AM","NIGHT PARKING - WRONG SIDE","1956 S 37 ST"
"292135",461861094,"5/19/12","4:40:00 AM","NIGHT PARKING - WRONG SIDE","5531 N 41ST ST"
"247755",461800850,"4/30/12","1:32:00 AM","PARKING IN HANDICAPPED AREA","9152 N JADAM LN"
"383547",463076331,"7/6/12","12:27:00 PM","METER PARKING VIOLATION","732 S 5TH ST"
"228373",461605686,"4/20/12","2:38:00 AM","NIGHT PARKING - WRONG SIDE","5248 N 36TH ST"
"348807",462773441,"6/17/12","12:43:00 AM","PARKED POSTED PRIVATE PROPERTY","4221 W NORTH AVE"
"10435",459363892,"1/5/12","4:45:00 PM","METER PARKING VIOLATION","1941 N FARWELL AVE"
"461830",463855000,"8/15/12","5:39:00 AM","NIGHT PARKING - WRONG SIDE","3143 N 14TH ST"
"389441",463121363,"7/9/12","3:24:00 AM","NIGHT PARKING - WRONG SIDE","931 N 23RD ST"
"499698",464372263,"9/4/12","9:37:00 AM","PARKED IN SCHOOL ZONE","3715 N 94TH ST"
"708399",466575546,"12/13/12","5:00:00 AM","NIGHT PARKING - WINTER RESTRICTED","3847 S 43RD ST"
"323013",462474246,"6/5/12","10:42:00 AM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","3305 N CRAMER ST"
"506639",463851286,"9/7/12","9:12:00 AM","METER PARKING VIOLATION","1200 W TORY HILL"
"89161",460007203,"2/13/12","3:52:00 AM","NIGHT PARKING - WRONG SIDE","4155 N 20TH ST"
"128139",460555454,"3/1/12","5:28:00 AM","NIGHT PARKING","3941 N 24TH ST"
"474503",464135674,"8/22/12","1:53:00 PM","METER PARKING VIOLATION","756 N MILWAUKEE ST"
"540002",464846130,"9/21/12","1:51:00 PM","PARKED POSTED PRIVATE PROPERTY","4465 N 76 ST"
"14844",459222525,"1/7/12","3:53:00 AM","NIGHT PARKING","BROWN ST"
"108281",460343450,"2/21/12","3:49:00 PM","PARKED IN EXCESS OF 3 HOURS PROHIBITED","1727 S 32ND ST"
"571123",465110332,"10/6/12","7:31:00 PM","METER PARKING VIOLATION","1710 N ARLINGTON PL"
"429465",463633365,"7/30/12","4:12:00 PM","METER PARKING VIOLATION","307 N BROADWAY"
"25949",459532883,"1/12/12","2:02:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","700 W WINDLAKE AVE"
"312838",461652402,"5/31/12","8:11:00 AM","METER PARKING VIOLATION","1128 N VAN BUREN ST"
"18580",459382766,"1/10/12","6:44:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","S 5TH PL"
"178726",460887895,"3/26/12","3:54:00 AM","NIGHT PARKING","815 W WINDLAKE AVE"
"48379",459613372,"1/25/12","5:04:00 AM","NIGHT PARKING - WRONG SIDE","2337 S 14TH ST"
"460184",463770716,"8/14/12","4:27:00 AM","NIGHT PARKING","3303 W RUSKIN ST"
"486226",463932173,"8/27/12","6:45:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","6957 N TEUTONIA AVE"
"183683",461075425,"3/28/12","3:21:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1615 N FARWELL AVE"
"366977",462793730,"6/27/12","5:00:00 AM","NIGHT PARKING - WRONG SIDE","5061 N 83RD ST"
"310931",462256686,"5/30/12","4:38:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","1319 N DR. M.L. KING JR. DR"
"439911",463697161,"8/3/12","5:36:00 AM","NIGHT PARKING - WRONG SIDE","3351 S 19TH ST"
"362905",462914933,"6/25/12","3:40:00 AM","NIGHT PARKING","1360 W GROELING AVE"
"99366",460170266,"2/17/12","2:45:00 AM","NIGHT PARKING","8914 N 96TH ST"
"450429",463761745,"8/9/12","10:49:00 AM","METER PARKING VIOLATION","215 N WATER ST"
"658933",465793753,"11/20/12","10:33:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2405 E PARK PL"
"533525",464703654,"9/19/12","5:51:00 PM","METER PARKING VIOLATION","1131 N 4TH ST"
"518071",464614662,"9/12/12","3:54:00 AM","NIGHT PARKING","525 S 94TH ST"
"114405",460379662,"2/23/12","3:33:00 PM","METER PARKING VIOLATION","2241 S KINNICKINNIC AVE"
"112611",460464325,"2/23/12","10:37:00 AM","METER PARKING VIOLATION","410 E WISCONSIN AVE"
"440080",463670756,"8/4/12","4:44:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","714 N 23RD ST"
"153879",460831232,"3/14/12","3:32:00 AM","NIGHT PARKING","1001 W EUCLID AVE"
"602710",465141526,"10/23/12","11:46:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","715 E OGDEN AVE"
"201254",461097582,"4/6/12","5:36:00 AM","NIGHT PARKING - WRONG SIDE","3412 N 48TH ST"
"162679",460776886,"3/17/12","4:03:00 AM","NIGHT PARKING - WRONG SIDE","3415 N 37TH ST"
"592956",465107300,"10/18/12","6:21:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","901 E KNAPP ST"
"91221",460205476,"2/14/12","2:45:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","156 E HIGHLAND AVE"
"393572",463198945,"7/11/12","10:21:00 AM","METER PARKING VIOLATION","610 N WATER ST"
"105870",460286831,"2/20/12","4:21:00 PM","METER PARKING VIOLATION","1029 W HISTORIC MITCHELL ST"
"100162",460211673,"2/17/12","5:43:00 AM","NIGHT PARKING","2902 N 29TH ST"
"375424",463222583,"6/30/12","2:28:00 AM","NIGHT PARKING","3031 N CRAMER ST"
"298356",462075552,"5/23/12","4:46:00 AM","NIGHT PARKING","326 S 64TH ST"
"505878",464429954,"9/6/12","5:58:00 AM","NIGHT PARKING","1457 N 38TH ST"
"441363",463623112,"8/4/12","5:33:00 AM","NIGHT PARKING - WRONG SIDE","1814 W VINE ST"
"79441",459896850,"2/8/12","8:26:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1900 W POTAWATOMI CR"
"398401",462861700,"7/13/12","3:14:00 AM","NIGHT PARKING - WRONG SIDE","929 S 33RD ST"
"195775",461058975,"4/3/12","1:10:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1040 S 19 ST"
"637212",465581200,"11/8/12","9:03:00 AM","METER PARKING VIOLATION","1839 W WISCONSIN AVE"
"533952",464668783,"9/19/12","3:00:00 AM","NIGHT PARKING","4738 N 20TH ST"
"422321",463352271,"7/26/12","5:06:00 AM","NIGHT PARKING - WRONG SIDE","8516 W VILLARD AVE"
"132805",460682456,"3/2/12","5:14:00 AM","NIGHT PARKING - WRONG SIDE","2422 S WOODWARD ST"
"26098",459365141,"1/12/12","2:05:00 AM","NIGHT PARKING - WRONG SIDE","3734 N 53RD ST"
"245439",461800080,"4/28/12","2:01:00 PM","METER PARKING VIOLATION","1415 W WELLS ST"
"393679",463236793,"7/11/12","4:38:00 AM","NIGHT PARKING","269 E JUNEAU AVE"
"521676",464557402,"9/13/12","12:05:00 PM","METER PARKING VIOLATION","337 E WELLS ST"
"654951",661855434,"11/16/12","3:09:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1124 E BRADY ST"
"518574",464482561,"9/12/12","5:05:00 AM","NIGHT PARKING","2031 N 49TH ST"
"421453",463565572,"7/25/12","9:06:00 AM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","1329 W KILBOURN AVE"
"734188",466913801,"12/27/12","7:55:00 AM","PARKING IN EXCESS OF 24 HOURS","2421 N OAKLAND AVE"
"177740",461229473,"3/26/12","5:23:00 AM","NIGHT PARKING - WRONG SIDE","8316 W CRAWFORD AVE"
"156594",460812656,"3/15/12","4:30:00 AM","NIGHT PARKING","528 S 61 ST"
"378075",463087310,"7/2/12","1:38:00 PM","METER PARKING VIOLATION","2100 N FARWELL AVE"
"376057",462745566,"7/1/12","10:51:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","2651 N DOWNER AVE"
"232141",461646861,"4/23/12","4:41:00 AM","NIGHT PARKING - WRONG SIDE","2269 S 19 ST"
"358638",463030901,"6/22/12","2:55:00 AM","NIGHT PARKING","3370 N CAMBRIDGE AVE"
"489549",463607970,"8/29/12","8:37:00 AM","PARKED POSTED PRIVATE PROPERTY","4731 W BURLEIGH ST"
"316069",462603293,"6/1/12","2:48:00 AM","NIGHT PARKING","2628 N FARWELL AVE"
"296946",462105442,"5/22/12","4:25:00 AM","NIGHT PARKING - WRONG SIDE","7420 W STARK ST"
"513299",464519296,"9/10/12","2:08:00 AM","NIGHT PARKING - WRONG SIDE","2906 N DR. M.L. KING JR. DR"
"53891",459711501,"1/27/12","3:37:00 AM","NIGHT PARKING","4242 N 19TH PL"
"43985",459576552,"1/23/12","2:43:00 PM","PARKED IN EXCESS OF 3 HOURS PROHIBITED","2220 E BRADFORD AVE"
"51336",458112616,"1/26/12","2:34:00 AM","NIGHT PARKING - WINTER RESTRICTED","4122 N 92ND ST"
"708971",466636122,"12/13/12","1:25:00 AM","PARKED WITHIN 10 FEET OF FIRE HYDRANT","4800 N 54TH ST"
"728857",466701196,"12/24/12","4:59:00 AM","NIGHT PARKING - WINTER RESTRICTED","3220 S 13TH ST"
"487833",464040916,"8/28/12","4:38:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1132 E PLEASANT ST"
"506610",463638884,"9/7/12","4:30:00 AM","NIGHT PARKING","3334 W GRANT ST"
"473717",463919072,"8/21/12","5:13:00 PM","METER PARKING VIOLATION","727 E KILBOURN AVE"
"58733",459785443,"1/30/12","10:14:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1220 N MARSHALL ST"
"155631",460611060,"3/14/12","12:45:00 PM","PARKED POSTED PRIVATE PROPERTY","2863 S KINNICKINNIC AVE"
"275399",462007722,"5/11/12","12:31:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2201 E BELLEVIEW PL"
"392181",463333161,"7/10/12","4:24:00 AM","NIGHT PARKING","2641 N FREDERICK AVE"
"485334",464156626,"8/27/12","3:38:00 AM","NIGHT PARKING - WRONG SIDE","2219 N 1ST ST"
"94790",459963512,"2/15/12","2:37:00 AM","NIGHT PARKING","2310 W KILBOURN AVE"
"115504",460279396,"2/24/12","5:34:00 PM","METER PARKING VIOLATION","710 N BROADWAY"
"337515",462635541,"6/12/12","7:08:00 PM","FAILURE TO PARK IN DEFINED ANGLE SPACE","3117 N GENGLER CR"
"540171",464822735,"9/21/12","5:02:00 PM","METER PARKING VIOLATION","812 N VAN BUREN ST"
"198362",461062781,"4/4/12","5:28:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2701 E HAMPSHIRE ST"
"448027",662711571,"8/8/12","8:37:00 PM","TOW-AWAY ZONE (BLOCKING DRIVEWAY)","431 W BRUCE ST"
"169368",460906574,"3/21/12","5:20:00 AM","NIGHT PARKING","7336 W FERNWOOD CR"
"66229",459864311,"2/2/12","5:48:00 AM","NIGHT PARKING","2538 N HUBBARD ST"
"22730",459379992,"1/11/12","5:51:00 PM","METER PARKING VIOLATION","1711 N WARREN AVE"
"615619",465496990,"10/30/12","1:29:00 PM","METER PARKING VIOLATION","3071 N STOWELL AVE"
"109970",460327254,"2/22/12","8:40:00 AM","METER PARKING VIOLATION","1954 N FARWELL AVE"
"357598",462885382,"6/21/12","4:46:00 AM","NIGHT PARKING - WRONG SIDE","437 S 64TH ST"
"396661",463420285,"7/12/12","4:21:00 AM","NIGHT PARKING - WRONG SIDE","4840 S 14TH ST"
"564808",464977870,"10/3/12","2:50:00 PM","METER PARKING VIOLATION","827 N 11TH ST"
"676364",466298265,"11/29/12","5:51:00 AM","NIGHT PARKING","3056 N MARYLAND AVE"
"659163",465767820,"11/20/12","2:22:00 AM","NIGHT PARKING - WRONG SIDE","2910 N 49TH ST"
"514434",661748231,"9/10/12","12:27:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1023 N 8TH ST"
"664817",465957730,"11/23/12","3:12:00 PM","METER PARKING VIOLATION","1215 N 4TH ST"
"75527",460014682,"2/7/12","10:16:00 AM","PARKED IN SCHOOL ZONE","1621 S 5TH ST"
"366021",462996660,"6/26/12","3:21:00 AM","NIGHT PARKING - WRONG SIDE","5310 W ROOSEVELT DR"
"272368",461681894,"5/10/12","8:40:00 PM","METER PARKING VIOLATION","3068 N STOWELL AVE"
"559746",464914074,"10/2/12","8:14:00 AM","PARKING IN EXCESS OF 24 HOURS","4453 N 52ND ST"
"72624",459745882,"2/5/12","4:18:00 AM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","716 W WISCONSIN AVE"
"57020",459721511,"1/28/12","5:16:00 AM","NIGHT PARKING","2231 N HI MOUNT BD"
"560586",465006161,"10/2/12","4:56:00 AM","NIGHT PARKING - WRONG SIDE","2972 S LOGAN AVE"
"167056",460218883,"3/20/12","2:13:00 AM","NIGHT PARKING - WRONG SIDE","4616 S 1ST ST"
"227582",461130714,"4/19/12","1:19:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1202 N CASS ST"
"653770",465610224,"11/16/12","8:09:00 PM","METER PARKING VIOLATION","3077 N FARWELL AVE"
"333401",462714044,"6/8/12","5:08:00 AM","NIGHT PARKING - WRONG SIDE","3908 W DOUGLAS AVE"
"703855",466484410,"12/11/12","4:16:00 AM","NIGHT PARKING - WRONG SIDE","1955 S 32ND ST"
"95998",460175881,"2/15/12","2:48:00 PM","METER PARKING VIOLATION","785 N JEFFERSON ST"
"256479",461625883,"5/3/12","3:01:00 AM","NIGHT PARKING","2944 N 37TH ST"
"552934",464901253,"9/27/12","4:32:00 AM","NIGHT PARKING","3226 S 48TH ST"
"170297",460952214,"3/21/12","4:58:00 AM","NIGHT PARKING","5710 N 84TH ST"
"209519",461423885,"4/10/12","3:02:00 AM","NIGHT PARKING","2364 N WEIL ST"
"168065",460854855,"3/20/12","5:40:00 AM","NIGHT PARKING - WRONG SIDE","7724 W RUBY AVE"
"627578",465721605,"11/3/12","3:42:00 AM","NIGHT PARKING","3451 N OAKLAND AVE"
"704302",466413172,"12/11/12","1:38:00 AM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","1422 S 21ST ST"
"236189",461391081,"4/24/12","1:27:00 PM","METER PARKING VIOLATION","2919 N OAKLAND AVE"
"655995",465925320,"11/17/12","2:59:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","511 N BROADWAY"
"270231",461845053,"5/9/12","2:39:00 AM","NIGHT PARKING","2656 N 61ST ST"
"581459",464923631,"10/11/12","12:51:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","3232 S 16TH ST"
"420171",462547503,"7/25/12","3:32:00 AM","NIGHT PARKING - WRONG SIDE","629 W LAND PL"
"459223",463992233,"8/14/12","11:23:00 AM","METER PARKING VIOLATION","3125 N DOWNER AVE"
"381640",462859471,"7/5/12","4:33:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","4454 N 57TH ST"
"292077",462218326,"5/19/12","5:03:00 AM","NIGHT PARKING - WRONG SIDE","4901 N 58TH ST"
"669502",466095372,"11/27/12","4:40:00 AM","NIGHT PARKING","3928 N 52ND ST"
"717371",466639261,"12/18/12","2:43:00 AM","NIGHT PARKING - WINTER RESTRICTED","1129 N PROSPECT AVE"
"19145",459451274,"1/10/12","5:25:00 AM","NIGHT PARKING","2145 S 20 ST"
"234069",461412512,"4/24/12","10:12:00 PM","PARKED IN TAXICAB STAND","206 E HIGHLAND AVE"
"621221",465732536,"11/1/12","4:05:00 AM","NIGHT PARKING - WRONG SIDE","5440 N 39TH ST"
"22746",459556322,"1/11/12","7:46:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","215 W STATE ST"
"520380",464596565,"9/12/12","2:13:00 AM","NIGHT PARKING","4379 N 64TH ST"
"376095",462965215,"7/1/12","4:56:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","419 W HAMPTON AVE"
"489871",464267031,"8/29/12","2:56:00 PM","METER PARKING VIOLATION","924 W STATE ST"
"31868",459266430,"1/16/12","1:11:00 AM","PARKING IN EXCESS OF 24 HOURS","1317 W KILBOURN AVE"
"432818",462785665,"8/1/12","5:02:00 AM","NIGHT PARKING - WRONG SIDE","4324 N 88TH ST"
"267581",461570351,"5/9/12","11:36:00 PM","METER PARKING VIOLATION","1711 N WARREN AVE"
"295445",462308700,"5/22/12","1:21:00 PM","METER PARKING VIOLATION","606 N 4TH ST"
"114161",460408524,"2/23/12","2:48:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","2852 N FARWELL AVE"
"79021",459910846,"2/8/12","3:00:00 PM","PARKED IN EXCESS OF 3 HOURS PROHIBITED","3820 N HUMBOLDT BLVD"
"377844",463146261,"7/2/12","11:12:00 AM","METER PARKING VIOLATION","826 W HIGHLAND AVE"
"608939",465446671,"10/25/12","10:12:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2851 N CRAMER ST"
"207592",461361751,"4/10/12","1:17:00 PM","METER PARKING VIOLATION","1517 E BRADY ST"
"310225",462487664,"5/30/12","5:54:00 AM","NIGHT PARKING","1709 E WINDSOR PL"
"462760",463854823,"8/15/12","4:49:00 AM","NIGHT PARKING","2916 N 23RD ST"
"146727",460684932,"3/9/12","3:45:00 AM","NIGHT PARKING","1020 E CENTER ST"
"35648",459660633,"1/18/12","10:29:00 AM","METER PARKING VIOLATION","840 N JEFFERSON ST"
"71464",460022404,"2/4/12","5:04:00 AM","NIGHT PARKING - WINTER RESTRICTED","4271 N TEUTONIA AVE"
"529733",464774310,"9/18/12","4:47:00 AM","NIGHT PARKING","3817 N 24TH PL"
"14498",459442756,"1/7/12","5:25:00 AM","NIGHT PARKING","820 N 23RD ST"
"242435",461746412,"4/27/12","5:34:00 AM","NIGHT PARKING - WRONG SIDE","7615 W LORRAINE PL"
"361724",462973066,"6/23/12","5:36:00 PM","PARKED POSTED PRIVATE PROPERTY","104 E MASON ST"
"686259",466274281,"12/4/12","12:58:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","1620 E ROYALL PL"
"179399",461010933,"3/27/12","5:07:00 PM","RESIDENTIAL PARKING PROGRAM","3070 N MURRAY AVE"
"575666",464899131,"10/9/12","5:39:00 AM","NIGHT PARKING","1621 S UNION ST"
"79824",459905795,"2/8/12","3:21:00 AM","NIGHT PARKING - WRONG SIDE","1232 S 25 ST"
"514820",464436711,"9/11/12","3:19:00 AM","NIGHT PARKING","1002 W BECHER ST"
"491764",464308423,"8/30/12","1:17:00 AM","PARKED UNATTENDED HEAVY TRUCK","210 E ABERT PL"
"690579",466250282,"12/5/12","8:44:00 AM","METER PARKING VIOLATION","241 WATER ST"
"234172",461598012,"4/24/12","7:19:00 PM","METER PARKING VIOLATION","2523 E KENWOOD BLVD"
"582737",465164895,"10/12/12","5:28:00 AM","NIGHT PARKING","3037 S 37TH ST"
"23260",459287581,"1/11/12","1:08:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1803 N ARLINGTON PL"
"604661",465315546,"10/24/12","2:27:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2739 W GREENFIELD AVE"
"166874",460931671,"3/20/12","1:43:00 PM","METER PARKING VIOLATION","314 W ST PAUL AVE"
"367257",462934275,"6/27/12","5:17:00 AM","NIGHT PARKING","2852 N 41ST ST"
"607422",465337364,"10/25/12","2:35:00 PM","PARKED IN SCHOOL ZONE","2930 N 52ND ST"
"346905",462814925,"6/15/12","7:36:00 PM","METER PARKING VIOLATION","1710 N ARLINGTON PL"
"243873",461589870,"4/27/12","4:27:00 AM","NIGHT PARKING","2622 W MELVINA ST"
"259838",461909022,"5/4/12","9:02:00 PM","TOW-AWAY ZONE (BLOCKING DRIVEWAY)","1502 W SCOTT ST"
"696804",466402602,"12/7/12","11:07:00 AM","METER PARKING VIOLATION","436 N JACKSON ST"
"379160",463147020,"7/3/12","3:23:00 AM","NIGHT PARKING","908 S 29TH ST"
"440857",463812613,"8/4/12","8:06:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","5580 N 95TH ST"
"723440",466552461,"12/20/12","5:17:00 AM","NIGHT PARKING","1226 E KANE ST"
"535569",464674350,"9/19/12","5:34:00 PM","METER PARKING VIOLATION","633 N JEFFERSON ST"
"696532",466321656,"12/7/12","4:32:00 AM","NIGHT PARKING - WINTER RESTRICTED","1554 S 6TH ST"
"742064",466826216,"12/31/12","6:00:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","3269 S SWAIN CT"
"662890",465912930,"11/21/12","3:14:00 AM","NIGHT PARKING - WRONG SIDE","731 S 25TH ST"
"299585",462336711,"5/23/12","3:07:00 AM","NIGHT PARKING","2712 S 9TH PL"
"545493",464573594,"9/25/12","1:43:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1631 N WARREN AVE"
"84282",460122541,"2/10/12","2:00:00 AM","NIGHT PARKING - WRONG SIDE","1332 N 24TH ST"
"322283",462600832,"6/4/12","12:02:00 PM","METER PARKING VIOLATION","651 N 8TH ST"
"207082",461408614,"4/9/12","9:18:00 AM","METER PARKING VIOLATION","430 E CLYBOURN AVE"
"175669",461048405,"3/24/12","2:20:00 AM","NIGHT PARKING","821 S 3RD ST"
"306694",461885502,"5/26/12","2:41:00 AM","NIGHT PARKING - WRONG SIDE","4656 N 21ST ST"
"354601",462582072,"6/20/12","4:36:00 PM","METER PARKING VIOLATION","1116 N 6TH ST"
"618632",465589596,"10/31/12","8:45:00 PM","METER PARKING VIOLATION","528 W HIGHLAND AVE"
"253711",461765905,"5/2/12","8:47:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","704 N WATER ST"
"342272",462725270,"6/13/12","12:22:00 PM","UNREGISTERED/ IMPROPERLY REGISTERED VEHICLE","813 E VIENNA AVE"
"221895",461226990,"4/17/12","2:59:00 AM","NIGHT PARKING - WRONG SIDE","5937 N 39TH ST"
"720146",466737504,"12/19/12","5:46:00 AM","NIGHT PARKING","2334 N CAMBRIDGE AVE"
"108523",460334512,"2/21/12","1:31:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1433 N ASTOR ST"
"117408",460153503,"2/25/12","5:41:00 AM","NIGHT PARKING - WRONG SIDE","2467 S 6TH ST"
"637175",465785821,"11/8/12","5:53:00 AM","NIGHT PARKING - WRONG SIDE","5606 N 74TH ST"
"333976",462346183,"6/9/12","2:38:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","726 E WELLS ST"
"112930",460349831,"2/23/12","2:26:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","2019 N FARWELL AVE"
"374858",462903066,"6/30/12","2:39:00 AM","NIGHT PARKING","2225 W KILBOURN AVE"
"732027",466621551,"12/25/12","12:49:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","1962 N SUMMIT AVE"
"714745",466628444,"12/15/12","5:23:00 AM","NIGHT PARKING - WRONG SIDE","3737 W MICHIGAN ST"
"327438",462430765,"6/6/12","5:03:00 AM","NIGHT PARKING - WRONG SIDE","2650 N 48TH ST"
"407962",462883680,"7/18/12","2:51:00 AM","NIGHT PARKING","3007 N 54TH ST"
"714237",466605926,"12/15/12","4:12:00 AM","NIGHT PARKING - WINTER RESTRICTED","1320 N DR. M.L. KING JR. DR"
"460428",661859925,"8/14/12","1:05:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","1116 N 10TH ST"
"108414",460188993,"2/21/12","11:05:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2591 N PROSPECT AVE"
"346058",462727801,"6/15/12","2:23:00 AM","NIGHT PARKING","2614 N 2ND ST"
"661093",465792773,"11/20/12","4:05:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1630 E HARTFORD AVE"
"5379",459107261,"1/4/12","3:29:00 AM","NIGHT PARKING - WINTER RESTRICTED","3115 N SHERMAN BLVD"
"167824",460813953,"3/20/12","7:56:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1930 N HUMBOLDT AVE"
"421594",462784265,"7/25/12","5:59:00 PM","METER PARKING VIOLATION","1330 N 10TH ST"
"607063",465378885,"10/25/12","7:34:00 AM","PARKED IN SCHOOL ZONE","826 E KNAPP ST"
"174214",460877804,"3/23/12","10:45:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2333 N CAMBRIDGE AVE"
"276274",462178102,"5/11/12","11:40:00 AM","METER PARKING VIOLATION","1007 W HISTORIC MITCHELL ST"
"347347",462809421,"6/16/12","2:01:00 AM","NIGHT PARKING - WRONG SIDE","4244 N 50TH ST"
"180618",461242106,"3/27/12","3:26:00 AM","NIGHT PARKING","3008 N CRAMER ST"
"432680",463768152,"8/1/12","4:42:00 AM","NIGHT PARKING - WRONG SIDE","2768 N 2ND ST"
"353046",462893502,"6/19/12","1:52:00 PM","METER PARKING VIOLATION","2804 N OAKLAND AVE"
"714158",466370096,"12/15/12","9:16:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1726 E LAFAYETTE PL"
"516402",464374750,"9/11/12","3:25:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1220 W VLIET ST"
"380207",463104600,"7/3/12","6:49:00 PM","PARKED POSTED PRIVATE PROPERTY","900 N CASS ST"
"269705",462056210,"5/9/12","8:46:00 AM","METER PARKING VIOLATION","308 E BUFFALO ST"
"238302",461630702,"4/25/12","2:55:00 AM","NIGHT PARKING","2962 N FRATNEY ST"
"243101",461322164,"4/27/12","4:11:00 AM","NIGHT PARKING","1222 S 19TH ST"
"647436",465743471,"11/13/12","5:41:00 PM","METER PARKING VIOLATION","1020 E MICHIGAN ST"
"32941",459469150,"1/17/12","1:22:00 AM","PARKED POSTED PRIVATE PROPERTY","R/O 9036 N 75TH ST LOT"
"186627",461093824,"3/29/12","3:41:00 AM","NIGHT PARKING - WRONG SIDE","743 S 25 ST"
"654450",465962556,"11/16/12","3:27:00 AM","NIGHT PARKING - WRONG SIDE","2748 N 50TH ST"
"640927",465114801,"11/9/12","2:56:00 PM","METER PARKING VIOLATION","811 N 16TH ST"
"418656",463423251,"7/24/12","11:58:00 AM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","2705 E HAMPSHIRE ST"
"611840",465237603,"10/27/12","3:37:00 AM","NIGHT PARKING - WRONG SIDE","3143 S 8TH ST"
"588607",465153290,"10/16/12","1:41:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1728 N DR. M.L. KING JR. DR"
"215870",461386494,"4/13/12","11:43:00 AM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1055 E JUNEAU AVE"
"106168",460019980,"2/21/12","4:47:00 PM","METER PARKING VIOLATION","2373 S KINNICKINNIC AVE"
